iter	Passed	Remaining
157	630	3360
158	633	3352
159	637	3344
160	640	3337
161	644	3336
162	648	3329
163	652	3324
164	655	3318
165	659	3311
166	662	3306
167	666	3301
168	670	3295
169	673	3289
170	677	3286
171	681	3279
172	684	3273
173	688	3267
174	691	3261
175	695	3255
176	699	3250
177	702	3243
178	706	3238
179	709	3232
180	713	3227
181	716	3221
182	720	3214
183	723	3209
184	727	3204
185	730	3196
186	734	3191
187	737	3185
188	741	3180
189	744	3174
190	748	3168
191	751	3163
192	755	3157
193	758	3151
194	762	3146
195	765	3141
196	769	3134
197	773	3132
198	776	3126
199	780	3121
200	784	3117
201	788	3114
202	792	3110
203	795	3105
204	799	3101
205	803	3096
206	807	3094
207	811	3090
208	815	3085
209	818	3080
210	822	3076
211	826	3071
212	829	3066
213	833	3061
214	836	3055
215	840	3051
216	844	3046
217	847	3041
218	851	3035
219	854	3030
220	858	3024
221	861	3020
222	865	3014
223	868	3009
224	872	3003
225	875	2998
226	879	2993
227	882	2989
228	886	2985
229	890	2981
230	893	2975
231	897	2970
232	900	2964
233	904	2960
234	908	2957
235	912	2953
236	915	2947
237	918	2941
238	922	2937
239	926	2932
240	929	2927
241	933	2922
242	936	2917
243	939	2912
244	943	2906
245	947	2902
246	950	2897
247	954	2894
248	958	2890
249	961	2885
250	965	2879
251	968	2875
252	972	2871
253	975	2866
254	979	2860
255	982	2855
256	986	2851
257	989	2845
258	993	2841
259	996	2836
260	999	2831
261	1003	2826
262	1006	2821
263	1010	2815
264	1013	2811
265	1017	2807
266	1020	2802
267	1024	2798
268	1027	2793
269	1031	2788
270	1034	2783
271	1038	2778
272	1041	2773
273	1045	2769
274	1048	2764
275	1052	2760
276	1055	2755
277	1059	2750
278	1062	2745
279	1066	2741
280	1069	2737
281	1073	2732
282	1076	2728
283	1080	2723
284	1083	2718
285	1087	2714
286	1090	2710
287	1094	2706
288	1097	2700
289	1101	2696
290	1105	2692
291	1108	2687
292	1112	2683
293	1115	2679
294	1119	2676
295	1123	2671
296	1127	2669
297	1131	2665
298	1136	2663
299	1140	2660
300	1143	2656
301	1147	2652
302	1151	2648
303	1155	2644
304	1158	2640
305	1163	2637
306	1166	2632
307	1170	2629
308	1173	2624
309	1177	2620
310	1180	2616
311	1184	2611
312	1188	2607
313	1191	2603
314	1195	2599
315	1199	2595
316	1202	2590
317	1205	2585
318	1209	2581
319	1212	2576
320	1216	2572
321	1219	2568
322	1223	2563
323	1226	2559
324	1230	2555
325	1233	2550
326	1237	2546
327	1240	2541
328	1244	2538
329	1247	2533
330	1251	2529
331	1255	2525
332	1258	2521
333	1262	2517
334	1266	2513
335	1269	2509
336	1274	2506
337	1277	2501
338	1280	2497
339	1284	2493
340	1287	2488
341	1295	2491
342	1307	2504
343	1316	2510
344	1326	2517
345	1329	2513
346	1333	2509
347	1337	2505
348	1340	2500
349	1344	2496
350	1347	2491
351	1351	2487
352	1354	2482
353	1357	2477
354	1361	2473
355	1364	2469
356	1368	2464
357	1371	2460
358	1375	2455
359	1378	2451
360	1382	2446
361	1385	2442
362	1389	2437
363	1393	2434
364	1397	2430
365	1400	2426
366	1404	2422
367	1408	2419
368	1412	2415
369	1416	2411
370	1420	2407
371	1423	2403
372	1427	2399
373	1430	2394
374	1434	2390
375	1437	2385
376	1441	2381
377	1444	2377
378	1448	2373
379	1452	2369
380	1455	2365
381	1459	2360
382	1462	2356
383	1466	2351
384	1469	2347
385	1473	2343
386	1476	2339
387	1480	2335
388	1484	2331
389	1487	2327
390	1491	2323
391	1495	2319
392	1499	2315
393	1502	2311
394	1506	2307
395	1509	2303
396	1513	2299
397	1517	2295
398	1521	2291
399	1525	2288
400	1528	2283
401	1532	2279
402	1536	2275
403	1540	2272
404	1543	2267
405	1547	2263
406	1551	2261
407	1556	2258
408	1559	2253
409	1563	2249
410	1566	2245
411	1570	2241
412	1573	2236
413	1577	2232
414	1581	2228
415	1584	2224
416	1588	2220
417	1591	2216
418	1595	2212
419	1599	2208
420	1602	2203
421	1605	2199
422	1609	2195
423	1612	2190
424	1616	2186
425	1619	2182
426	1623	2178
427	1626	2174
428	1630	2170
429	1633	2165
430	1637	2161
431	1640	2157
432	1644	2152
433	1647	2149
434	1651	2145
435	1655	2140
436	1658	2136
437	1661	2132
438	1665	2128
439	1669	2124
440	1672	2120
441	1675	2115
442	1679	2111
443	1683	2107
444	1686	2103
445	1689	2099
446	1693	2095
447	1697	2091
448	1700	2086
449	1704	2082
450	1707	2078
451	1711	2074
452	1715	2071
453	1718	2066
454	1721	2062
455	1725	2058
456	1729	2054
457	1732	2050
458	1736	2046
459	1739	2042
460	1742	2037
461	1746	2033
462	1749	2029
463	1753	2025
464	1756	2021
465	1760	2017
466	1763	2013
467	1767	2008
468	1770	2004
469	1774	2000
470	1778	1996
471	1781	1992
472	1784	1988
473	1788	1984
474	1791	1980
475	1795	1976
476	1798	1972
477	1802	1968
478	1805	1963
479	1809	1960
480	1812	1955
481	1816	1951
482	1819	1947
483	1822	1943
484	1826	1939
485	1829	1935
486	1833	1931
487	1837	1927
488	1840	1923
489	1844	1919
490	1847	1915
491	1851	1911
492	1854	1907
493	1857	1903
494	1861	1899
495	1864	1895
496	1868	1891
497	1871	1886
498	1875	1882
499	1878	1878
500	1882	1874
501	1885	1870
502	1889	1866
503	1892	1862
504	1896	1858
505	1899	1854
506	1903	1850
507	1906	1846
508	1910	1842
509	1913	1838
510	1917	1835
511	1920	1830
512	1924	1826
513	1927	1822
514	1931	1818
515	1935	1815
516	1938	1810
517	1941	1806
518	1945	1803
519	1949	1799
520	1953	1796
521	1957	1792
522	1961	1788
523	1965	1785
524	1969	1781
525	1972	1777
526	1976	1774
527	1980	1770
528	1984	1766
529	1987	1762
530	1991	1759
531	1995	1755
532	1998	1751
533	2002	1747
534	2005	1743
535	2009	1739
536	2013	1735
537	2016	1732
538	2020	1727
539	2023	1723
540	2027	1719
541	2030	1715
542	2034	1712
543	2038	1708
544	2041	1704
545	2045	1700
546	2048	1696
547	2052	1692
548	2056	1689
549	2059	1685
550	2063	1681
551	2066	1677
552	2069	1673
553	2073	1669
554	2076	1665
555	2080	1661
556	2084	1657
557	2087	1653
558	2091	1649
559	2094	1645
560	2098	1641
561	2101	1637
562	2104	1633
563	2108	1629
564	2111	1625
565	2115	1621
566	2118	1617
567	2121	1613
568	2125	1609
569	2128	1605
570	2132	1601
571	2135	1597
572	2139	1594
573	2142	1590
574	2145	1586
575	2149	1582
576	2152	1578
577	2156	1574
578	2159	1570
579	2163	1566
580	2167	1562
581	2170	1558
582	2174	1555
583	2178	1551
584	2181	1547
585	2184	1543
586	2188	1539
587	2192	1536
588	2195	1532
589	2199	1528
590	2203	1524
591	2206	1520
592	2210	1516
593	2213	1513
594	2217	1509
595	2220	1505
596	2224	1501
597	2227	1497
598	2231	1493
599	2234	1489
600	2238	1486
601	2241	1482
602	2245	1478
603	2248	1474
604	2252	1470
605	2255	1466
606	2259	1462
607	2262	1458
608	2266	1455
609	2269	1451
610	2273	1447
611	2276	1443
612	2280	1439
613	2283	1435
614	2287	1431
615	2290	1428
616	2294	1424
617	2297	1420
618	2301	1416
619	2305	1412
620	2308	1409
621	2312	1405
622	2316	1401
623	2319	1397
624	2323	1393
625	2326	1390
626	2330	1386
627	2333	1382
628	2337	1378
629	2340	1374
630	2343	1370
631	2347	1366
632	2350	1362
633	2354	1359
634	2357	1355
635	2360	1351
636	2364	1347
637	2367	1343
638	2371	1339
639	2375	1335
640	2378	1332
641	2382	1328
642	2385	1324
643	2389	1320
644	2392	1316
645	2396	1313
646	2399	1309
647	2403	1305
648	2406	1301
649	2409	1297
650	2413	1293
651	2416	1289
652	2420	1286
653	2423	1282
654	2427	1278
655	2431	1274
656	2434	1271
657	2438	1267
658	2441	1263
659	2444	1259
660	2448	1255
661	2451	1251
662	2455	1248
663	2458	1244
664	2462	1240
665	2465	1236
666	2469	1232
667	2472	1228
668	2476	1225
669	2479	1221
670	2482	1217
671	2486	1213
672	2489	1209
673	2493	1206
674	2496	1202
675	2500	1198
676	2504	1194
677	2507	1191
678	2511	1187
679	2515	1183
680	2518	1179
681	2521	1175
682	2525	1172
683	2529	1168
684	2532	1164
685	2535	1160
686	2539	1156
687	2542	1153
688	2546	1149
689	2549	1145
690	2553	1141
691	2556	1138
692	2560	1134
693	2564	1130
694	2567	1126
695	2570	1122
696	2574	1119
697	2578	1115
698	2581	1111
699	2585	1108
700	2589	1104
701	2592	1100
702	2596	1096
703	2599	1093
704	2603	1089
705	2606	1085
706	2610	1081
707	2613	1077
708	2616	1074
709	2620	1070
710	2623	1066
711	2627	1062
712	2630	1058
713	2633	1055
714	2637	1051
715	2641	1047
716	2644	1043
717	2647	1039
718	2651	1036
719	2654	1032
720	2657	1028
721	2661	1024
722	2664	1020
723	2667	1017
724	2671	1013
725	2675	1009
726	2678	1005
727	2682	1002
728	2686	998
729	2689	994
730	2692	990
731	2696	987
732	2699	983
733	2703	979
734	2706	975
735	2710	972
736	2713	968
737	2717	964
738	2721	961
739	2724	957
740	2727	953
741	2731	949
742	2734	945
743	2737	941
744	2740	938
745	2743	934
746	2747	930
747	2750	926
748	2754	923
749	2757	919
750	2761	915
751	2764	911
752	2768	908
753	2771	904
754	2775	900
755	2778	896
756	2782	893
757	2785	889
758	2789	885
759	2792	881
760	2795	878
761	2799	874
762	2803	870
763	2806	867
764	2810	863
765	2813	859
766	2817	855
767	2820	852
768	2824	848
769	2827	844
770	2831	840
771	2834	837
772	2837	833
773	2841	829
774	2844	825
775	2848	822
776	2851	818
777	2855	814
778	2858	811
779	2862	807
780	2865	803
781	2869	799
782	2872	796
783	2876	792
784	2880	788
785	2883	785
786	2887	781
787	2890	777
788	2894	774
789	2897	770
790	2901	766
791	2904	762
792	2908	759
793	2911	755
794	2915	751
795	2918	747
796	2921	744
797	2925	740
798	2929	736
799	2932	733
800	2935	729
801	2938	725
802	2942	721
803	2945	718
804	2949	714
805	2953	710
806	2956	707
807	2960	703
808	2963	699
809	2967	695
810	2970	692
811	2974	688
812	2978	685
813	2981	681
814	2985	677
815	2988	673
816	2992	670
817	2995	666
818	2998	662
819	3002	659
820	3005	655
821	3009	651
822	3012	647
823	3016	644
824	3019	640
825	3023	636
826	3026	633
827	3030	629
828	3033	625
829	3037	622
830	3040	618
831	3043	614
832	3047	610
833	3050	607
834	3053	603
835	3057	599
836	3061	596
837	3064	592
838	3068	588
839	3071	585
840	3075	581
841	3078	577
842	3081	573
843	3085	570
844	3088	566
845	3092	562
846	3095	559
847	3099	555
848	3102	551
849	3105	548
850	3109	544
851	3112	540
852	3116	536
853	3119	533
854	3122	529
855	3126	525
856	3129	522
857	3133	518
858	3136	514
859	3140	511
860	3143	507
861	3147	503
862	3151	500
863	3154	496
864	3158	492
865	3161	489
866	3165	485
867	3168	481
868	3171	478
869	3175	474
870	3178	470
871	3181	467
872	3185	463
873	3188	459
874	3192	456
875	3196	452
876	3199	448
877	3203	445
878	3206	441
879	3210	437
880	3213	434
881	3217	430
882	3220	426
883	3224	423
884	3227	419
885	3230	415
886	3234	412
887	3237	408
888	3241	404
889	3244	401
890	3248	397
891	3251	393
892	3255	390
893	3258	386
894	3262	382
895	3265	379
896	3269	375
897	3272	371
898	3276	368
899	3279	364
900	3283	360
901	3286	357
902	3290	353
903	3293	349
904	3297	346
905	3300	342
906	3304	338
907	3308	335
908	3311	331
909	3315	327
910	3318	324
911	3322	320
912	3325	316
913	3329	313
914	3332	309
915	3336	305
916	3339	302
917	3342	298
918	3346	294
919	3349	291
920	3352	287
921	3356	283
922	3360	280
923	3363	276
924	3366	272
925	3370	269
926	3373	265
927	3377	262
928	3380	258
929	3384	254
930	3387	251
931	3390	247
932	3394	243
933	3398	240
934	3401	236
935	3405	232
936	3408	229
937	3412	225
938	3415	221
939	3418	218
940	3422	214
941	3425	210
942	3429	207
943	3432	203
944	3435	199
945	3439	196
946	3442	192
947	3445	188
948	3448	185
949	3452	181
950	3456	178
951	3459	174
952	3462	170
953	3466	167
954	3469	163
955	3473	159
956	3477	156
957	3480	152
958	3484	148
959	3488	145
960	3491	141
961	3495	138
962	3498	134
963	3502	130
964	3505	127
965	3509	123
966	3512	119
967	3516	116
968	3519	112
969	3523	108
970	3526	105
971	3530	101
972	3533	98
973	3537	94
974	3541	90
975	3544	87
976	3548	83
977	3552	79
978	3555	76
979	3558	72
980	3562	68
981	3566	65
982	3569	61
983	3572	58
984	3576	54
985	3580	50
986	3583	47
987	3587	43
988	3591	39
989	3594	36
990	3598	32
991	3601	29
992	3605	25
993	3608	21
994	3612	18
995	3615	14
996	3619	10
997	3622	7
998	3625	3
999	3629	0
